		Australia	New Zealand	Sweden	Austria	Belgium	Denmark	Norway	Finland	Netherlands	Czech Republic
brace	492	2872	556	1	3	36	51	0	2	6	3
brain	493	15810	2298	569	6	893	231	10	330	144	13
branch	494	20917	1529	349	266	701	303	148	370	156	374
brand	495	105828	5238	4028	451	1805	3609	1190	2922	2377	284
brave	496	3907	864	16	0	201	1	6	5	11	5
bread	497	4931	945	19	0	96	8	0	16	4	11
break	498	80079	12248	2773	293	6090	682	824	665	868	196
breast	499	8950	1067	478	0	397	108	3	36	56	27
breath	500	4646	1014	2	1	221	17	0	3	19	6
breathe	501	3698	847	8	2	137	4	3	10	33	4
bridge	502	18490	2878	436	36	1545	151	89	130	169	61
brief	503	9905	2054	243	5	577	240	8	671	59	204
briefing	504	5374	839	54	8	633	44	11	404	17	94
brigade	505	1930	519	16	0	64	2	0	1	1	5
brilliant	506	6233	1217	23	0	367	8	10	6	25	4
bring	507	189677	17823	6847	696	9001	2188	2346	1868	1746	391
british	508	18452	3466	182	21	2576	71	106	46	135	218
broad	509	30688	1675	883	58	1594	364	512	168	279	53
broadcast	510	13438	931	268	9	613	113	342	43	94	76
broken	511	3702	994	24	0	183	18	1	0	15	8
brown	512	6274	1301	6	2	455	9	4	3	47	41
bruise	513	1602	440	0	0	101	0	0	0	0	0
brutal	514	2457	632	12	0	95	0	0	0	15	31
bubble	515	4153	1639	4	4	90	18	0	1	39	9
bud	516	1994	336	7	0	160	1	0	0	6	8
buffer	517	2990	295	139	2	148	53	33	45	43	16
build	518	145198	16205	2710	151	7829	1348	2076	1230	1823	546
builder	519	7344	915	105	18	134	96	4	137	21	28
building	520	89463	12111	3908	367	7439	1464	2043	1797	921	417
bull	521	13962	3663	193	18	68	43	42	40	49	8
bullet	522	3100	678	17	1	84	3	0	0	34	0
bun	523	1033	251	0	0	16	1	0	22	3	0
burden	524	6929	729	67	25	999	42	13	34	48	56
bureaucracy	525	907	198	0	1	68	2	0	0	7	7
burger	526	2635	614	10	0	25	1	0	4	24	6
bus	527	21285	4383	1030	9	1597	275	151	46	62	148
bushfire	528	8458	220	0	0	1	0	0	0	0	1
business	529	634515	30836	28867	1838	24100	10788	7633	13184	5258	1494
but	530	707506	163370	5228	457	26509	2355	1769	1820	5614	2533
butler	531	1285	79	0	1	7	0	0	0	1	0
button	532	5262	701	51	1	187	11	2	10	224	2
buyer	533	29925	3091	201	22	2872	83	183	98	169	61
by	534	2767505	184774	303172	26312	162108	82768	108535	92669	63174	16111
bye	535	4193	558	0	0	10	0	9	0	0	1
bypass	536	2876	377	18	6	152	5	13	6	24	15
ca	537	1469	27	193	17	50	14	20	34	11	4
cab	538	2302	361	7	0	90	4	9	0	38	0
cabin	539	5140	856	52	57	76	12	23	71	148	10
cabinet	540	8130	801	190	6	2764	6	0	35	23	525
cake	541	7593	1233	9	2	232	31	1	10	21	8
calcium	542	1662	119	9	1	60	41	106	2	11	0
calendar	543	28139	1195	1278	62	1581	1322	3845	432	174	23
calf	544	7073	1018	0	0	42	0	0	0	5	9
call	545	182094	27760	3833	278	16936	2544	3126	1144	1723	723
caller	546	1911	184	3	1	296	8	14	14	4	4
calling	547	1054	141	2	3	43	1	62	0	6	2
calm	548	5545	1184	6	5	183	4	0	3	16	44
cam	549	2214	80	287	1	181	8	2	4	17	0
camp	550	14856	2852	114	0	471	9	1	10	50	144
campaign	551	62487	7869	314	3	3958	121	201	108	441	333
campus	552	18683	658	60	2	1194	23	4	63	89	17
can	553	643614	80259	7891	1503	39748	4454	3006	3298	7291	1748
cancel	554	11726	2409	151	11	380	323	490	263	193	241
cancer	555	49725	4805	2681	0	4130	1138	1163	137	268	47
cane	556	1986	277	2	0	86	1	2	0	0	2
cannabis	557	7845	2158	271	2	656	33	8	7	14	13
canvas	558	1832	320	1	0	72	0	0	0	20	7
cap	559	353169	12089	64684	4744	12301	13416	20204	15241	8551	745
capacity	560	69541	3914	15445	248	5891	4283	4508	3554	1763	400
capital	561	917485	24942	126093	11439	30299	35392	46002	35497	23638	2013
captain	562	21861	5850	23	4	143	66	37	4	40	18
car	563	105457	21643	1269	188	6098	866	380	837	1493	1005
caravan	564	2113	342	28	0	79	1	0	1	3	1
carbon	565	21286	2368	280	6	1807	306	365	324	413	41
card	566	48247	4547	2608	63	1821	564	780	178	373	135
care	567	146104	10406	16592	54	8206	2676	1539	2266	1328	391
career	568	86575	7695	373	197	3698	268	296	433	392	110
careful	569	4357	1051	14	2	248	14	7	9	49	9
carefully	570	6405	1118	73	10	531	36	169	28	44	20
carer	571	5463	329	0	0	1688	2	0	5	27	0
carpark	572	1935	619	0	0	27	0	0	0	0	1
cart	573	2468	334	54	0	30	28	1	0	13	1
carve	574	2872	555	5	6	79	7	2	7	14	0
case	575	111569	19831	739	244	30321	853	415	565	1050	1379
cash	576	531878	17098	100277	7486	16532	24285	37351	32569	11722	662
casino	577	8317	274	779	9	21	192	81	0	1	15
casual	578	6398	662	102	0	110	7	36	76	17	1
cat	579	11648	2580	482	3	334	6	6	5	29	2
catalyst	580	6162	220	62	1	369	20	3	15	80	1
catastrophic	581	2361	282	3	0	93	6	0	0	7	6
cate	582	219	18	1535	0	6	1	0	0	3	0
category	583	49796	2432	4276	299	3064	1114	107	1748	1103	221
cater	584	8250	724	64	1	173	18	21	20	49	5
cause	585	69804	11580	604	69	5439	568	399	599	580	474
caution	586	4888	686	25	3	249	32	1	2	31	4
cavity	587	2894	112	53	14	100	23	6	11	60	3
celebrate	588	56757	4499	97	7	2298	49	42	33	101	73
celebration	589	17843	1772	37	3	777	8	4	12	26	86
celebrity	590	6008	809	6	0	94	4	2	2	42	9
cell	591	43396	1469	2660	7	2289	850	412	568	1295	47
census	592	2281	379	0	0	82	0	0	0	19	84
cent	593	183296	37597	2738	47	2578	1200	1717	1828	240	22
central	594	45997	6558	1780	210	3187	716	651	667	402	690
centric	595	3536	98	87	1	52	66	14	51	34	2
century	596	21018	3483	167	11	1682	44	73	25	157	119
ceo	597	138054	2453	13283	420	1868	5852	6157	6201	1801	183
ceos	598	1874	96	14	0	75	6	0	16	8	0
ceremony	599	18881	1348	77	7	1077	26	6	21	35	88
certainly	600	22135	4603	28	6	558	20	0	12	179	63
certificate	601	10255	775	251	53	1356	218	656	136	43	38
chain	602	40716	2220	1483	136	1630	587	705	869	695	189
chair	603	38985	3269	366	18	3215	248	521	525	230	57
challenge	604	84203	10542	692	82	6735	629	630	475	837	147
challenging	605	9191	1136	121	17	586	152	197	118	95	14
champion	606	27217	5711	43	7	576	37	14	136	57	31
chance	607	50698	9523	177	6	2375	50	18	34	204	181
chancellor	608	3441	231	3	10	851	3	0	3	5	51
change	609	1543261	65659	289357	19764	61856	58776	89503	72983	39008	3772
changer	610	2082	209	9	1	70	14	6	16	15	0
chapter	611	9757	551	145	8	1042	252	82	1384	59	24
character	612	17537	3883	105	11	573	24	55	22	150	39
charge	613	84790	13705	1031	139	8260	803	704	431	885	374
charity	614	18780	2279	13	0	3952	11	12	12	71	36
charming	615	1233	228	0	0	17	0	1	0	1	1
charter	616	20526	785	124	0	1389	182	1736	30	92	53
chase	617	10536	2409	28	0	154	2	5	1	25	10
check	618	39653	6034	125	29	3524	73	45	95	478	316
chef	619	17694	1083	45	37	104	8	2	6	6	2
cherry	620	3034	402	390	4	72	17	6	2	4	8
child	621	138860	24039	719	56	13415	198	46	429	459	559
chill	622	1992	538	0	1	92	3	3	0	5	0
chinese	623	31758	2902	376	29	974	186	108	114	295	346
choice	624	37714	4793	310	32	1894	167	310	97	342	89
choose	625	41497	5913	648	43	2247	401	344	279	386	156
christchurch	626	157	1612	0	0	7	0	0	0	0	0
chunk	627	1676	498	4	1	29	1	0	1	14	2
church	628	11437	2519	16	4	606	3	13	3	33	162
circulation	629	2875	232	3	7	327	37	5	18	26	6
citizen	630	16246	1756	422	10	3751	214	678	497	321	314
city	631	120766	15397	1834	148	6786	627	503	516	979	367
civil	632	18742	1512	460	134	2936	202	168	123	194	104
cla	633	251	8	2176	0	2	20	1	0	0	0
clarification	634	2032	166	84	5	410	26	93	14	16	0
clarity	635	3954	589	64	3	459	35	21	18	52	2
class	636	127893	9142	166379	371	3459	31105	1752	17459	799	69
classic	637	18026	2896	95	8	215	23	6	12	82	18
clause	638	3183	715	74	9	565	58	17	17	54	18
clay	639	2771	385	3	63	76	1	2	1	8	2
clean	640	31560	4576	852	28	1871	230	603	316	245	37
cleanse	641	1805	157	23	0	22	3	0	1	5	0
clear	642	52031	10075	546	54	4965	383	226	221	451	204
clearance	643	6592	574	88	2	376	146	49	62	81	24
clearly	644	14843	3045	150	47	1775	106	23	242	146	94
clerk	645	1760	105	19	0	44	3	1	1	11	19
click	646	298910	3700	20143	1430	4565	4474	7695	5543	3609	159
client	647	109769	2818	1414	130	1815	1083	2232	444	1527	549
climate	648	27804	5238	484	24	3810	458	280	342	443	130
climb	649	61095	2989	9041	708	1487	1671	2534	1872	1088	79
clinic	650	12347	965	401	2	288	124	30	113	18	18
clinical	651	35498	1379	2934	54	2909	1854	808	214	669	9
clinically	652	1082	75	138	0	135	76	7	2	6	0
clip	653	4310	655	10	0	52	5	0	1	63	1
close	654	815954	40002	163428	12294	35267	34874	49327	39517	23754	2399
closed	655	8684	1187	55	7	573	54	33	63	174	50
closely	656	18238	1597	385	18	1835	1918	520	736	226	56
closure	657	11840	1831	146	13	1479	91	81	105	117	75
clothe	658	6488	1488	154	0	276	14	3	8	31	14
cloud	659	43957	1289	698	12	262	327	258	702	205	24
club	660	100038	13900	175	1	2465	255	48	13	136	91
cluster	661	5468	953	132	8	264	50	58	40	243	36
cn	662	1562	269	2827	553	568	583	697	637	345	106
co	663	74683	8621	1332	312	4040	5964	582	691	475	276
coach	664	54966	15086	26	0	674	25	6	2	21	54
coast	665	34295	2899	64	6	502	44	162	10	68	10
coat	666	5057	584	182	0	275	12	2	32	74	3
coffee	667	17398	2328	204	9	826	68	19	120	132	15
coherent	668	1196	105	35	2	295	3	0	25	17	6
cohesion	669	766	107	1	2	849	0	0	2	7	58
cold	670	18034	3407	289	46	885	65	43	86	69	21
collapse	671	8689	1731	22	11	369	31	40	12	34	91
colleague	672	17678	2044	118	6	1776	72	135	31	154	36
collect	673	22098	2894	229	12	1923	99	98	139	407	134
collective	674	6976	1149	520	8	742	74	14	40	127	55
collectively	675	5179	469	45	9	244	173	60	7	121	1
college	676	21368	1714	88	28	1936	7	14	14	75	22
collision	677	4569	696	52	1	2660	3	0	7	32	13
colt	678	3803	221	0	0	1	0	0	0	0	0
com	679	8365	75	576	13	741	72	5	108	593	1
come	680	71351	15907	168	54	2304	157	285	137	393	203
comic	681	1006	40	9	0	14	0	0	0	3	0
comment	682	42183	2456	18629	989	3198	3590	5253	3638	2271	152
commission	683	2962	163	80	2	7567	186	93	36	72	9
committee	684	8454	221	298	0	1805	170	18	128	44	10
commodity	685	5389	408	1324	256	392	509	561	584	202	3
community	686	12693	852	11	9	1726	11	0	9	29	3
company	687	668886	10393	68444	5247	14397	20035	30643	20545	8386	510
compare	688	603709	11598	86678	6324	17526	18668	26591	24302	14291	769
competition	689	5705	379	93	1	299	17	46	85	24	5
completion	690	3118	180	96	3	95	161	238	14	40	4
complex	691	1582	83	16	0	60	4	1	0	34	1
composite	692	5182	21	45	4	39	63	1616	1158	25	0
compound	693	238583	3326	19716	2428	5707	5672	6222	5955	4311	506
computer	694	8974	107	1327	4	472	27	6	224	48	2
con	695	1967	1253	664	1	525	17	4	2	56	2
concern	696	62975	9918	574	268	9605	889	388	1009	546	388
concerned	697	9726	1887	18	7	933	12	6	17	39	15
concert	698	10080	1758	40	2	629	154	15	32	35	122
concrete	699	11550	1379	343	33	686	283	59	69	58	54
condition	700	93525	10584	4166	347	8531	2340	2557	2600	1157	497
conditional	701	2306	361	352	8	239	230	323	78	67	18
conference	702	67926	3676	3983	264	3765	2185	2537	1606	579	1262
confidence	703	25601	4151	454	10	1754	141	111	128	102	241
confident	704	18211	2728	203	15	747	136	143	74	147	7
confirm	705	42115	9020	626	175	3132	474	514	438	442	438
conflict	706	10348	1446	114	18	1754	43	22	66	109	271
congestion	707	3334	636	74	3	372	5	2	35	39	1
congratulation	708	4892	286	9	2	293	4	0	1	8	4
connect	709	48202	3004	1068	119	1401	365	308	332	803	208
connected	710	8389	298	202	8	283	125	71	68	199	7
conscience	711	1031	233	5	0	52	0	0	3	4	6
conscious	712	3151	647	36	13	115	17	4	11	32	6
consecutive	713	153128	5051	28114	2123	5858	6018	8131	7652	3714	378
consent	714	6051	3592	120	42	1286	91	56	121	45	43
conservation	715	6207	1384	18	17	1214	26	1	17	10	30
conservative	716	9814	1275	31	6	677	13	34	7	58	58
consider	717	93502	11290	3022	250	9349	1589	1472	2089	1662	664
considerable	718	6721	853	88	14	588	113	83	58	59	18
consideration	719	17614	1548	632	37	1631	617	1218	643	1165	39
conspiracy	720	2310	472	8	0	342	2	0	0	25	9
constable	721	1138	291	3	0	765	0	0	0	0	0
constant	722	7461	1068	98	18	412	232	24	52	302	24
constantly	723	6729	1087	36	9	326	75	19	54	84	22
construction	724	97466	3821	4354	618	4409	1435	2411	1769	1111	813
constructive	725	1518	230	68	2	360	24	115	8	49	14
consult	726	9591	1008	440	7	1402	185	101	317	45	40
consumable	727	3458	115	634	15	310	68	55	245	39	1
consumer	728	119420	5469	27498	2087	5064	5446	4900	8417	4777	452
contact	729	126998	14649	29202	1995	45592	9262	9770	7661	4841	389
container	730	18601	1848	438	59	492	218	786	325	134	33
contamination	731	2542	507	33	4	129	29	13	2	39	5
content	732	56053	2444	1043	180	21666	422	190	559	1095	91
contentious	733	1896	270	3	3	49	1	0	3	10	2
context	734	9123	964	196	39	2729	65	19	81	273	46
continent	735	5541	330	42	5	389	109	79	38	103	21
contingent	736	3308	315	188	1	165	87	130	19	39	12
continue	737	256144	19686	22067	1451	14502	6572	7045	5783	3473	840
continuous	738	9875	365	254	26	469	131	70	193	136	11
contract	739	97795	5884	2643	450	23295	2245	9321	1193	1052	621
contractor	740	17704	1698	95	3	1757	274	539	93	197	20
contrary	741	2208	317	16	7	421	47	10	19	29	63
contribute	742	32888	3241	1575	63	3549	593	583	200	461	164
control	743	126057	9448	6116	535	7312	1764	3155	2352	2461	401
controlling	744	4492	130	1516	335	444	282	921	563	211	7
convenience	745	8076	342	89	3	190	50	50	56	90	3
conversation	746	17544	3045	33	8	775	12	10	12	168	13
converter	747	4969	32	28	4	70	64	4	35	111	1
conviction	748	5254	1518	8	1	647	15	5	7	28	7
cool	749	20989	3534	685	17	404	168	107	29	272	22
cooper	750	1989	192	6	1	57	5	3	0	6	0
cop	751	6047	1070	6	9	154	29	1	2	9	0
core	752	49806	1925	11140	795	3082	2928	2548	2949	1970	199
coronaviru	753	3099	547	43	6	35	58	58	152	17	126
coroner	754	2553	594	0	0	150	0	0	0	1	0
corporate	755	342447	8115	38013	2894	7937	8803	13762	10364	6741	601
corporation	756	55407	700	844	113	443	507	465	3680	160	70
correct	757	10533	1418	173	13	936	169	162	165	152	58
correction	758	5838	874	390	18	322	274	544	325	109	8
cost	759	237644	19513	15669	1554	18126	6367	6892	4385	3186	639
could	760	222337	52052	709	165	12246	672	307	293	2007	708
couldn	761	26	1187	0	0	2	0	0	0	0	0
council	762	52512	17811	56	17	10682	29	7	22	86	106
count	763	22690	2793	107	11	1423	56	96	57	192	66
countdown	764	1299	572	3	2	60	0	0	0	6	0
country	765	185259	27924	24371	2417	21127	7469	7774	9889	5358	3192
coup	766	1842	299	9	2	162	0	0	0	34	35
course	767	70311	9292	364	124	6018	368	188	148	620	182
court	768	71099	9357	181	76	3694	153	160	107	254	711
courtroom	769	1331	235	2	0	25	1	0	0	5	8
covenant	770	1529	244	40	0	165	28	153	75	46	0
cover	771	136318	10165	9975	1808	7991	3432	4296	3663	3577	701
covid	772	2682	706	14	3	27	18	14	3	10	88
cow	773	11992	2325	24	0	113	26	2	4	54	12
cracker	774	1208	225	0	0	28	0	0	0	0	3
cradle	775	1063	75	7	0	16	3	0	0	9	0
craft	776	13726	1518	47	7	727	25	13	15	140	6
crate	777	871	166	1	0	16	6	0	1	16	0
crazy	778	4539	1088	5	1	37	1	0	8	24	4
cream	779	10888	1424	69	14	161	18	3	38	57	18
create	780	204725	13385	11372	667	8719	2992	3522	3115	3092	389
creation	781	19545	1096	1057	86	1446	405	317	233	420	61
credible	782	1868	368	19	1	245	5	0	8	20	6
credit	783	82551	4399	10819	308	4216	3164	4577	3138	1979	296
creep	784	1960	472	3	0	24	0	0	0	37	0
crew	785	20827	4157	43	10	1301	38	172	8	99	22
cricket	786	16734	4827	11	0	198	0	0	2	22	0
cricketer	787	2089	554	1	0	12	0	0	0	6	0
crime	788	23768	3557	195	2	6029	60	7	70	167	250
crisis	789	27345	3952	139	131	2810	326	175	238	376	483
criterion	790	54530	2968	11247	1692	5307	2739	4959	3574	2328	137
critical	791	40415	2881	512	13	1558	280	241	249	521	76
crocodile	792	2059	76	2	0	4	0	0	0	1	0
cropping	793	1042	89	0	0	11	1	0	2	6	0
crucial	794	12651	1631	118	8	1340	77	76	79	104	92
cruel	795	1339	387	8	0	69	0	0	1	5	5
crystal	796	6289	404	3	3	92	27	3	0	36	10
cube	797	1281	154	3	0	64	1	0	0	8	0
cult	798	1205	256	4	0	119	1	0	0	10	2
cultural	799	16733	1963	102	3	2037	45	31	38	83	99
culturally	800	1379	213	2	0	37	2	0	0	1	3
culture	801	37220	4246	234	45	2607	208	130	165	262	281
cup	802	28066	10535	86	0	323	14	12	153	42	25
curious	803	2262	389	15	2	409	4	0	2	35	6
current	804	811428	28467	117760	11278	33762	26178	47893	42829	24226	1762
currently	805	102590	6043	3269	284	6837	1364	2295	1234	1178	383
curriculum	806	3763	393	7	5	470	6	0	17	20	0
custom	807	13705	678	297	12	1499	35	8	46	89	52
customer	808	213244	9267	9317	634	4723	6395	4611	6311	3362	304
cut	809	73539	9150	390	63	2654	416	262	295	505	217
cutting	810	4260	258	119	2	163	22	15	146	27	9
cuv	811	1991	0	0	0	5	0	0	0	0	0
cyber	812	12370	454	588	10	1083	54	106	157	66	106
cycle	813	17784	2271	337	18	1460	164	186	133	322	70
cycling	814	4764	1308	51	1	406	9	10	14	21	18
da	815	1593	39	28	0	73	2	0	3	14	17
dad	816	10125	2405	27	0	142	1	0	0	19	7
daily	817	347117	12836	94447	6390	16843	18368	25706	20729	13802	1822
dairy	818	15638	5219	97	61	206	140	35	106	32	35
damage	819	38591	6449	263	40	2517	158	109	130	213	184
dame	820	1169	682	98	0	301	2	0	0	0	0
dance	821	13991	2567	15	0	672	19	0	0	30	19
danger	822	9177	1805	11	13	747	2	8	7	51	55
dangerous	823	13127	2626	31	8	896	12	2	9	79	59
dark	824	11784	2625	88	7	1012	27	39	11	148	18
data	825	29259	438	449	27	1110	289	569	319	275	24
database	826	13134	406	65	7	872	30	202	27	247	30
date	827	636060	22911	74597	6346	33241	18615	30226	26000	15580	752
daughter	828	20160	5293	32	19	317	7	9	2	55	37
dawn	829	3827	742	17	0	66	3	33	0	10	7
day	830	1635076	90424	340000	21208	69265	64478	95072	72527	44656	5038
de	831	23398	1260	918	45	5579	320	208	170	710	38
dead	832	14307	3730	58	2	470	20	2	119	117	77
deal	833	101025	12243	627	205	6296	403	172	511	793	911
dear	834	2234	397	36	5	126	25	2	5	13	8
death	835	43684	10322	149	12	2670	72	59	45	173	255
dec	836	1194	14	88	1	46	20	16	12	21	0
decade	837	44100	5700	170	14	1300	140	196	74	281	81
december	838	1470	135	170	6	761	63	126	79	40	9
decent	839	3772	1289	9	0	220	9	0	2	59	21
decide	840	41858	8317	2415	79	3298	1667	1001	2853	521	527
decision	841	95225	15506	1897	141	14242	1265	796	2256	995	526
deck	842	8162	1151	60	3	182	21	8	32	35	1
declare	843	20590	2347	243	56	1161	90	433	45	167	261
decline	844	189485	10032	41320	3619	9751	9466	12253	11355	7228	853
deep	845	34024	3889	318	19	1149	187	672	114	427	52
deeply	846	8327	1328	95	8	444	17	14	12	64	11
defeat	847	17326	3029	56	3	435	54	3	7	24	58
defect	848	3242	210	42	11	179	36	4	14	48	20
defendant	849	4987	1021	4	8	279	1	3	1	35	27
deferral	850	760	135	0	16	190	10	58	8	3	9
deficit	851	19199	1120	4839	37	1485	861	1343	1444	633	278
definitely	852	13793	2983	5	1	206	19	5	8	100	63
delete	853	2464	354	10	5	643	30	81	2	80	33
deliberately	854	2596	556	6	1	226	9	4	1	22	14
deliver	855	126972	7310	2637	239	8376	2240	3296	1206	3197	153
delivery	856	45139	2405	2297	157	3856	921	2597	1374	676	127
delta	857	1316	36	36	0	21	17	20	10	31	1
demand	858	75977	7161	1663	182	3429	1335	873	1236	712	634
demo	859	1900	41	39	0	28	8	14	5	39	2
demonstrate	860	28812	1411	576	48	2434	392	333	110	314	18
denial	861	1788	288	2	3	114	0	0	2	13	1
depart	862	4974	1131	16	0	160	21	61	12	13	10
department	863	36114	1981	227	38	3893	216	158	138	103	156
dependent	864	4688	531	293	19	417	151	40	154	98	33
depth	865	16825	1472	269	10	598	108	135	46	254	10
deputy	866	29755	2611	1357	81	1884	1050	479	1189	87	1442
des	867	3193	70	8	1	854	20	2	8	136	26
deserve	868	11225	2392	16	1	552	14	3	8	45	31
design	869	170413	8563	4035	268	7721	1488	1512	2176	2578	205
designer	870	13099	1269	39	13	430	57	53	70	137	18
desire	871	11240	1597	118	65	560	77	52	16	114	16
desperate	872	4329	1168	11	2	107	2	0	1	10	5
desperately	873	2277	537	2	0	106	2	0	2	13	4
despite	874	54085	9022	1348	223	2394	676	841	787	598	285
destination	875	20146	1395	112	32	863	62	19	137	97	75
destiny	876	1091	154	10	0	34	9	0	0	16	1
destruction	877	3083	469	13	1	225	6	8	2	19	27
detailed	878	12309	757	360	41	1712	604	179	299	804	31
detainee	879	1181	116	8	0	59	0	0	2	14	1
determine	880	47298	2942	1264	86	2207	485	417	496	889	42
determined	881	5679	734	96	3	428	24	24	61	71	3
detrimental	882	1056	183	5	2	185	4	6	1	10	3
devastate	883	2450	523	1	0	118	0	0	0	9	7
devastating	884	4694	821	27	1	346	26	11	2	15	10
developer	885	29164	1473	1291	73	547	341	509	536	477	170
development	886	231705	9152	11576	1220	15457	5994	5075	3536	2713	898
deviation	887	9195	564	5470	312	958	1153	1251	1233	767	58
device	888	124971	2438	5093	206	1766	622	644	1517	4407	83
devil	889	1989	218	2	0	26	0	0	0	27	0
di	890	1270	35	9	16	104	12	3	7	1	0
diabete	891	2043	180	44	0	180	187	15	4	5	5
dial	892	4183	499	473	87	201	351	512	129	62	6
didn	893	278	3737	0	0	5	0	0	0	0	0
die	894	39364	11011	79	28	2582	16	1	21	329	340
diesel	895	9615	1104	212	14	403	109	38	92	464	88
differ	896	3725	395	49	25	381	222	272	48	104	69
difference	897	31556	4600	3145	112	2783	264	564	1231	446	124
different	898	84231	12635	1583	145	5984	639	271	607	1400	262
differently	899	3400	698	16	0	219	11	5	6	28	14
difficult	900	30732	5553	319	45	2071	276	378	126	320	89
digit	901	7495	322	692	57	232	239	101	110	164	30
dinner	902	17338	2063	12	0	331	13	10	12	24	16
diplomacy	903	943	172	24	0	207	0	0	10	6	107
dire	904	1593	353	9	3	59	2	0	0	16	5
direct	905	46040	4219	2332	92	3201	1452	1017	1026	594	281
direction	906	27162	2484	334	62	1587	119	95	161	356	48
directly	907	31443	2261	976	166	3232	589	531	594	353	63
director	908	1487468	26588	43191	2120	12979	13670	13573	14170	7421	1203
directorate	909	7174	11	1	5	708	2	2	0	0	13
disable	910	860	93	12	0	59	3	4	1	26	1
disappointed	911	3195	833	6	9	62	9	0	3	13	5
disaster	912	18040	1620	37	6	708	10	3	7	43	22
discipline	913	7688	975	62	2	604	34	51	6	88	15
disclosure	914	20436	8395	322	112	2053	902	4643	666	424	8
disconnect	915	1489	208	10	3	42	2	14	16	18	4
discount	916	224481	5873	33960	2543	6519	6903	9894	7730	5265	591
discourage	917	1428	274	4	0	110	2	0	0	16	14
discussion	918	25937	3092	349	43	2974	181	327	129	267	308
disease	919	47777	3701	3059	18	3911	2207	362	500	480	144
disgrace	920	1211	242	1	0	32	0	0	0	2	5
disgusting	921	836	206	1	0	18	0	0	0	6	0
dismissal	922	2289	371	8	2	724	12	2	5	15	44
disparity	923	1497	134	2	9	157	4	0	4	25	1
dispense	924	1788	121	50	0	80	13	4	11	18	3
